,residue,split,target
144,5xjc.B.46,train,"['0000353', '0005682']"
145,5xjc.B.40,train,"['0000353', '0005682']"
146,5xjc.B.35,train,"['0000353', '0005682']"
147,5xjc.B.53,train,"['0000353', '0005682']"
148,5xjc.B.55,train,"['0000353', '0005682']"
149,5xjc.B.95,train,"['0000353', '0005682']"
150,5xjc.B.42,train,"['0000353', '0005682']"
151,5xjc.B.21,train,"['0000353', '0005682']"
152,5xjc.B.56,train,"['0000353', '0005682']"
153,5xjc.B.102,train,"['0000353', '0005682']"
154,5xjc.B.99,train,"['0000353', '0005682']"
155,5xjc.B.24,train,"['0000353', '0005682']"
156,5xjc.B.97,train,"['0000353', '0005682']"
157,5xjc.B.22,train,"['0000353', '0005682']"
158,5xjc.B.19,train,"['0000353', '0005682']"
159,5xjc.B.12,train,"['0000353', '0005682']"
160,5xjc.B.50,train,"['0000353', '0005682']"
161,5xjc.B.23,train,"['0000353', '0005682']"
162,5xjc.B.62,train,"['0000353', '0005682']"
163,5xjc.B.61,train,"['0000353', '0005682']"
164,5xjc.B.67,train,"['0000353', '0005682']"
165,5xjc.B.27,train,"['0000353', '0005682']"
166,5xjc.B.33,train,"['0000353', '0005682']"
167,5xjc.B.68,train,"['0000353', '0005682']"
168,5xjc.B.45,train,"['0000353', '0005682']"
169,5xjc.B.103,train,"['0000353', '0005682']"
170,5xjc.B.34,train,"['0000353', '0005682']"
171,5xjc.B.66,train,"['0000353', '0005682']"
172,5xjc.B.104,train,"['0000353', '0005682']"
173,5xjc.B.57,train,"['0000353', '0005682']"
174,5xjc.B.69,train,"['0000353', '0005682']"
175,5xjc.B.91,train,"['0000353', '0005682']"
176,5xjc.B.100,train,"['0000353', '0005682']"
177,5xjc.B.90,train,"['0000353', '0005682']"
178,5xjc.B.65,train,"['0000353', '0005682']"
179,5xjc.B.10,train,"['0000353', '0005682']"
180,5xjc.B.89,train,"['0000353', '0005682']"
181,5xjc.B.98,train,"['0000353', '0005682']"
182,5xjc.B.38,train,"['0000353', '0005682']"
183,5xjc.B.30,train,"['0000353', '0005682']"
184,5xjc.B.60,train,"['0000353', '0005682']"
185,5xjc.B.25,train,"['0000353', '0005682']"
186,5xjc.B.43,train,"['0000353', '0005682']"
187,5xjc.B.70,train,"['0000353', '0005682']"
188,5xjc.B.85,train,"['0000353', '0005682']"
189,5xjc.B.13,train,"['0000353', '0005682']"
190,5xjc.B.47,train,"['0000353', '0005682']"
191,5xjc.B.49,train,"['0000353', '0005682']"
192,5xjc.B.29,train,"['0000353', '0005682']"
193,5xjc.B.92,train,"['0000353', '0005682']"
194,5xjc.B.26,train,"['0000353', '0005682']"
195,5xjc.B.16,train,"['0000353', '0005682']"
196,5xjc.B.20,train,"['0000353', '0005682']"
197,5xjc.B.9,train,"['0000353', '0005682']"
198,5xjc.B.48,train,"['0000353', '0005682']"
199,5xjc.B.86,train,"['0000353', '0005682']"
200,5xjc.B.41,train,"['0000353', '0005682']"
201,5xjc.B.93,train,"['0000353', '0005682']"
202,5xjc.B.54,train,"['0000353', '0005682']"
203,5xjc.B.18,train,"['0000353', '0005682']"
204,5xjc.B.11,train,"['0000353', '0005682']"
205,5xjc.B.36,train,"['0000353', '0005682']"
206,5xjc.B.32,train,"['0000353', '0005682']"
207,5xjc.B.58,train,"['0000353', '0005682']"
208,5xjc.B.51,train,"['0000353', '0005682']"
209,5xjc.B.71,train,"['0000353', '0005682']"
210,5xjc.B.94,train,"['0000353', '0005682']"
211,5xjc.B.17,train,"['0000353', '0005682']"
212,5xjc.B.8,train,"['0000353', '0005682']"
213,5xjc.B.96,train,"['0000353', '0005682']"
214,5xjc.B.15,train,"['0000353', '0005682']"
215,5xjc.B.59,train,"['0000353', '0005682']"
216,5xjc.B.52,train,"['0000353', '0005682']"
217,5xjc.B.101,train,"['0000353', '0005682']"
218,5xjc.B.87,train,"['0000353', '0005682']"
219,5xjc.B.88,train,"['0000353', '0005682']"
220,5xjc.B.37,train,"['0000353', '0005682']"
221,5xjc.B.39,train,"['0000353', '0005682']"
222,5xjc.B.63,train,"['0000353', '0005682']"
223,5xjc.B.44,train,"['0000353', '0005682']"
224,5xjc.F.12,train,"['0000353', '0005688']"
225,5xjc.F.40,train,"['0000353', '0005688']"
226,5xjc.F.7,train,"['0000353', '0005688']"
227,5xjc.F.68,train,"['0000353', '0005688']"
228,5xjc.F.39,train,"['0000353', '0005688']"
229,5xjc.F.93,train,"['0000353', '0005688']"
230,5xjc.F.55,train,"['0000353', '0005688']"
231,5xjc.F.70,train,"['0000353', '0005688']"
232,5xjc.F.3,train,"['0000353', '0005688']"
233,5xjc.F.35,train,"['0000353', '0005688']"
234,5xjc.F.59,train,"['0000353', '0005688']"
235,5xjc.F.9,train,"['0000353', '0005688']"
236,5xjc.F.53,train,"['0000353', '0005688']"
237,5xjc.F.10,train,"['0000353', '0005688']"
238,5xjc.F.90,train,"['0000353', '0005688']"
239,5xjc.F.95,train,"['0000353', '0005688']"
240,5xjc.F.84,train,"['0000353', '0005688']"
241,5xjc.F.64,train,"['0000353', '0005688']"
242,5xjc.F.66,train,"['0000353', '0005688']"
243,5xjc.F.38,train,"['0000353', '0005688']"
244,5xjc.F.76,train,"['0000353', '0005688']"
245,5xjc.F.94,train,"['0000353', '0005688']"
246,5xjc.F.19,train,"['0000353', '0005688']"
247,5xjc.F.57,train,"['0000353', '0005688']"
248,5xjc.F.81,train,"['0000353', '0005688']"
249,5xjc.F.48,train,"['0000353', '0005688']"
250,5xjc.F.75,train,"['0000353', '0005688']"
251,5xjc.F.27,train,"['0000353', '0005688']"
252,5xjc.F.36,train,"['0000353', '0005688']"
253,5xjc.F.26,train,"['0000353', '0005688']"
254,5xjc.F.91,train,"['0000353', '0005688']"
255,5xjc.F.25,train,"['0000353', '0005688']"
256,5xjc.F.44,train,"['0000353', '0005688']"
257,5xjc.F.82,train,"['0000353', '0005688']"
258,5xjc.F.13,train,"['0000353', '0005688']"
259,5xjc.F.45,train,"['0000353', '0005688']"
260,5xjc.F.17,train,"['0000353', '0005688']"
261,5xjc.F.78,train,"['0000353', '0005688']"
262,5xjc.F.56,train,"['0000353', '0005688']"
263,5xjc.F.22,train,"['0000353', '0005688']"
264,5xjc.F.92,train,"['0000353', '0005688']"
265,5xjc.F.52,train,"['0000353', '0005688']"
266,5xjc.F.28,train,"['0000353', '0005688']"
267,5xjc.F.46,train,"['0000353', '0005688']"
268,5xjc.F.6,train,"['0000353', '0005688']"
269,5xjc.F.77,train,"['0000353', '0005688']"
270,5xjc.F.42,train,"['0000353', '0005688']"
271,5xjc.F.74,train,"['0000353', '0005688']"
272,5xjc.F.5,train,"['0000353', '0005688']"
273,5xjc.F.20,train,"['0000353', '0005688']"
274,5xjc.F.88,train,"['0000353', '0005688']"
275,5xjc.F.96,train,"['0000353', '0005688']"
276,5xjc.F.37,train,"['0000353', '0005688']"
277,5xjc.F.21,train,"['0000353', '0005688']"
278,5xjc.F.47,train,"['0000353', '0005688']"
279,5xjc.F.73,train,"['0000353', '0005688']"
280,5xjc.F.23,train,"['0000353', '0005688']"
281,5xjc.F.34,train,"['0000353', '0005688']"
282,5xjc.F.32,train,"['0000353', '0005688']"
283,5xjc.F.61,train,"['0000353', '0005688']"
284,5xjc.F.60,train,"['0000353', '0005688']"
285,5xjc.F.71,train,"['0000353', '0005688']"
286,5xjc.F.72,train,"['0000353', '0005688']"
287,5xjc.F.29,train,"['0000353', '0005688']"
288,5xjc.F.18,train,"['0000353', '0005688']"
289,5xjc.F.30,train,"['0000353', '0005688']"
290,5xjc.F.11,train,"['0000353', '0005688']"
291,5xjc.F.97,train,"['0000353', '0005688']"
292,5xjc.F.80,train,"['0000353', '0005688']"
293,5xjc.F.54,train,"['0000353', '0005688']"
294,5xjc.F.58,train,"['0000353', '0005688']"
295,5xjc.F.41,train,"['0000353', '0005688']"
296,5xjc.F.33,train,"['0000353', '0005688']"
297,5xjc.F.69,train,"['0000353', '0005688']"
298,5xjc.F.83,train,"['0000353', '0005688']"
299,5xjc.F.86,train,"['0000353', '0005688']"
300,5xjc.F.43,train,"['0000353', '0005688']"
301,5xjc.F.15,train,"['0000353', '0005688']"
302,5xjc.F.50,train,"['0000353', '0005688']"
303,5xjc.F.51,train,"['0000353', '0005688']"
304,5xjc.F.87,train,"['0000353', '0005688']"
305,5xjc.F.31,train,"['0000353', '0005688']"
306,5xjc.F.16,train,"['0000353', '0005688']"
307,5xjc.F.63,train,"['0000353', '0005688']"
308,5xjc.F.2,train,"['0000353', '0005688']"
309,5xjc.F.14,train,"['0000353', '0005688']"
310,5xjc.F.85,train,"['0000353', '0005688']"
311,5xjc.F.62,train,"['0000353', '0005688']"
312,5xjc.F.8,train,"['0000353', '0005688']"
313,5xjc.F.89,train,"['0000353', '0005688']"
314,5xjc.F.24,train,"['0000353', '0005688']"
315,5xjc.F.79,train,"['0000353', '0005688']"
316,5xjc.F.49,train,"['0000353', '0005688']"
317,5xjc.F.67,train,"['0000353', '0005688']"
318,5xjc.F.4,train,"['0000353', '0005688']"
319,5xjc.F.1,train,"['0000353', '0005688']"
320,5xjc.F.65,train,"['0000353', '0005688']"
321,8i0r.H.21,train,['0005686']
322,8i0r.H.161,train,['0005686']
323,8i0r.H.170,train,['0005686']
324,8i0r.H.35,train,['0005686']
325,8i0r.H.126,train,['0005686']
326,8i0r.H.100,train,['0005686']
327,8i0r.H.112,train,['0005686']
328,8i0r.H.105,train,['0005686']
329,8i0r.H.61,train,['0005686']
330,8i0r.H.14,train,['0005686']
331,8i0r.H.99,train,['0005686']
332,8i0r.H.57,train,['0005686']
333,8i0r.H.134,train,['0005686']
334,8i0r.H.69,train,['0005686']
335,8i0r.H.58,train,['0005686']
336,8i0r.H.55,train,['0005686']
337,8i0r.H.136,train,['0005686']
338,8i0r.H.160,train,['0005686']
339,8i0r.H.151,train,['0005686']
340,8i0r.H.12,train,['0005686']
341,8i0r.H.107,train,['0005686']
342,8i0r.H.177,train,['0005686']
343,8i0r.H.78,train,['0005686']
344,8i0r.H.60,train,['0005686']
345,8i0r.H.167,train,['0005686']
346,8i0r.H.1,train,['0005686']
347,8i0r.H.141,train,['0005686']
348,8i0r.H.29,train,['0005686']
349,8i0r.H.64,train,['0005686']
350,8i0r.H.62,train,['0005686']
351,8i0r.H.65,train,['0005686']
352,8i0r.H.181,train,['0005686']
353,8i0r.H.39,train,['0005686']
354,8i0r.H.130,train,['0005686']
355,8i0r.H.129,train,['0005686']
356,8i0r.H.132,train,['0005686']
357,8i0r.H.17,train,['0005686']
358,8i0r.H.117,train,['0005686']
359,8i0r.H.113,train,['0005686']
360,8i0r.H.102,train,['0005686']
361,8i0r.H.163,train,['0005686']
362,8i0r.H.23,train,['0005686']
363,8i0r.H.154,train,['0005686']
364,8i0r.H.82,train,['0005686']
365,8i0r.H.15,train,['0005686']
366,8i0r.H.121,train,['0005686']
367,8i0r.H.51,train,['0005686']
368,8i0r.H.27,train,['0005686']
369,8i0r.H.106,train,['0005686']
370,8i0r.H.45,train,['0005686']
371,8i0r.H.184,train,['0005686']
372,8i0r.H.31,train,['0005686']
373,8i0r.H.46,train,['0005686']
374,8i0r.H.11,train,['0005686']
375,8i0r.H.48,train,['0005686']
376,8i0r.H.131,train,['0005686']
377,8i0r.H.144,train,['0005686']
378,8i0r.H.83,train,['0005686']
379,8i0r.H.6,train,['0005686']
380,8i0r.H.138,train,['0005686']
381,8i0r.H.32,train,['0005686']
382,8i0r.H.56,train,['0005686']
383,8i0r.H.108,train,['0005686']
384,8i0r.H.165,train,['0005686']
385,8i0r.H.178,train,['0005686']
386,8i0r.H.20,train,['0005686']
387,8i0r.H.156,train,['0005686']
388,8i0r.H.123,train,['0005686']
389,8i0r.H.137,train,['0005686']
390,8i0r.H.68,train,['0005686']
391,8i0r.H.183,train,['0005686']
392,8i0r.H.115,train,['0005686']
393,8i0r.H.24,train,['0005686']
394,8i0r.H.80,train,['0005686']
395,8i0r.H.103,train,['0005686']
396,8i0r.H.40,train,['0005686']
397,8i0r.H.72,train,['0005686']
398,8i0r.H.143,train,['0005686']
399,8i0r.H.52,train,['0005686']
400,8i0r.H.73,train,['0005686']
401,8i0r.H.98,train,['0005686']
402,8i0r.H.5,train,['0005686']
403,8i0r.H.18,train,['0005686']
404,8i0r.H.70,train,['0005686']
405,8i0r.H.34,train,['0005686']
406,8i0r.H.33,train,['0005686']
407,8i0r.H.59,train,['0005686']
408,8i0r.H.74,train,['0005686']
409,8i0r.H.50,train,['0005686']
410,8i0r.H.26,train,['0005686']
411,8i0r.H.104,train,['0005686']
412,8i0r.H.133,train,['0005686']
413,8i0r.H.120,train,['0005686']
414,8i0r.H.2,train,['0005686']
415,8i0r.H.168,train,['0005686']
416,8i0r.H.176,train,['0005686']
417,8i0r.H.179,train,['0005686']
418,8i0r.H.4,train,['0005686']
419,8i0r.H.147,train,['0005686']
420,8i0r.H.175,train,['0005686']
421,8i0r.H.180,train,['0005686']
422,8i0r.H.128,train,['0005686']
423,8i0r.H.124,train,['0005686']
424,8i0r.H.54,train,['0005686']
425,8i0r.H.42,train,['0005686']
426,8i0r.H.3,train,['0005686']
427,8i0r.H.49,train,['0005686']
428,8i0r.H.174,train,['0005686']
429,8i0r.H.22,train,['0005686']
430,8i0r.H.7,train,['0005686']
431,8i0r.H.118,train,['0005686']
432,8i0r.H.10,train,['0005686']
433,8i0r.H.127,train,['0005686']
434,8i0r.H.148,train,['0005686']
435,8i0r.H.139,train,['0005686']
436,8i0r.H.38,train,['0005686']
437,8i0r.H.84,train,['0005686']
438,8i0r.H.63,train,['0005686']
439,8i0r.H.8,train,['0005686']
440,8i0r.H.162,train,['0005686']
441,8i0r.H.53,train,['0005686']
442,8i0r.H.101,train,['0005686']
443,8i0r.H.140,train,['0005686']
444,8i0r.H.25,train,['0005686']
445,8i0r.H.122,train,['0005686']
446,8i0r.H.30,train,['0005686']
447,8i0r.H.37,train,['0005686']
448,8i0r.H.109,train,['0005686']
449,8i0r.H.149,train,['0005686']
450,8i0r.H.166,train,['0005686']
451,8i0r.H.145,train,['0005686']
452,8i0r.H.169,train,['0005686']
453,8i0r.H.150,train,['0005686']
454,8i0r.H.13,train,['0005686']
455,8i0r.H.153,train,['0005686']
456,8i0r.H.19,train,['0005686']
457,8i0r.H.97,train,['0005686']
458,8i0r.H.119,train,['0005686']
459,8i0r.H.135,train,['0005686']
460,8i0r.H.158,train,['0005686']
461,8i0r.H.16,train,['0005686']
462,8i0r.H.155,train,['0005686']
463,8i0r.H.79,train,['0005686']
464,8i0r.H.142,train,['0005686']
465,8i0r.H.171,train,['0005686']
466,8i0r.H.111,train,['0005686']
467,8i0r.H.125,train,['0005686']
468,8i0r.H.44,train,['0005686']
469,8i0r.H.81,train,['0005686']
470,8i0r.H.159,train,['0005686']
471,8i0r.H.182,train,['0005686']
472,8i0r.H.172,train,['0005686']
473,8i0r.H.152,train,['0005686']
474,8i0r.H.173,train,['0005686']
475,8i0r.H.114,train,['0005686']
476,8i0r.H.9,train,['0005686']
477,8i0r.H.157,train,['0005686']
478,8i0r.H.41,train,['0005686']
479,8i0r.H.146,train,['0005686']
480,8i0r.H.28,train,['0005686']
481,8i0r.H.36,train,['0005686']
482,8i0r.H.110,train,['0005686']
483,8i0r.H.71,train,['0005686']
484,8i0r.H.116,train,['0005686']
485,8i0r.H.43,train,['0005686']
486,8i0r.H.47,train,['0005686']
487,8i0r.H.164,train,['0005686']
488,8i0r.B.97,train,"['0000353', '0005682']"
489,8i0r.B.89,train,"['0000353', '0005682']"
490,8i0r.B.53,train,"['0000353', '0005682']"
491,8i0r.B.8,train,"['0000353', '0005682']"
492,8i0r.B.117,train,"['0000353', '0005682']"
493,8i0r.B.62,train,"['0000353', '0005682']"
494,8i0r.B.12,train,"['0000353', '0005682']"
495,8i0r.B.13,train,"['0000353', '0005682']"
496,8i0r.B.87,train,"['0000353', '0005682']"
497,8i0r.B.70,train,"['0000353', '0005682']"
498,8i0r.B.35,train,"['0000353', '0005682']"
499,8i0r.B.68,train,"['0000353', '0005682']"
500,8i0r.B.39,train,"['0000353', '0005682']"
501,8i0r.B.37,train,"['0000353', '0005682']"
502,8i0r.B.86,train,"['0000353', '0005682']"
503,8i0r.B.115,train,"['0000353', '0005682']"
504,8i0r.B.16,train,"['0000353', '0005682']"
505,8i0r.B.29,train,"['0000353', '0005682']"
506,8i0r.B.54,train,"['0000353', '0005682']"
507,8i0r.B.90,train,"['0000353', '0005682']"
508,8i0r.B.67,train,"['0000353', '0005682']"
509,8i0r.B.110,train,"['0000353', '0005682']"
510,8i0r.B.109,train,"['0000353', '0005682']"
511,8i0r.B.33,train,"['0000353', '0005682']"
512,8i0r.B.84,train,"['0000353', '0005682']"
513,8i0r.B.20,train,"['0000353', '0005682']"
514,8i0r.B.34,train,"['0000353', '0005682']"
515,8i0r.B.44,train,"['0000353', '0005682']"
516,8i0r.B.101,train,"['0000353', '0005682']"
517,8i0r.B.96,train,"['0000353', '0005682']"
518,8i0r.B.61,train,"['0000353', '0005682']"
519,8i0r.B.69,train,"['0000353', '0005682']"
520,8i0r.B.114,train,"['0000353', '0005682']"
521,8i0r.B.40,train,"['0000353', '0005682']"
522,8i0r.B.57,train,"['0000353', '0005682']"
523,8i0r.B.85,train,"['0000353', '0005682']"
524,8i0r.B.91,train,"['0000353', '0005682']"
525,8i0r.B.107,train,"['0000353', '0005682']"
526,8i0r.B.55,train,"['0000353', '0005682']"
527,8i0r.B.11,train,"['0000353', '0005682']"
528,8i0r.B.63,train,"['0000353', '0005682']"
529,8i0r.B.27,train,"['0000353', '0005682']"
530,8i0r.B.65,train,"['0000353', '0005682']"
531,8i0r.B.52,train,"['0000353', '0005682']"
532,8i0r.B.92,train,"['0000353', '0005682']"
533,8i0r.B.21,train,"['0000353', '0005682']"
534,8i0r.B.50,train,"['0000353', '0005682']"
535,8i0r.B.36,train,"['0000353', '0005682']"
536,8i0r.B.10,train,"['0000353', '0005682']"
537,8i0r.B.48,train,"['0000353', '0005682']"
538,8i0r.B.64,train,"['0000353', '0005682']"
539,8i0r.B.108,train,"['0000353', '0005682']"
540,8i0r.B.66,train,"['0000353', '0005682']"
541,8i0r.B.56,train,"['0000353', '0005682']"
542,8i0r.B.51,train,"['0000353', '0005682']"
543,8i0r.B.18,train,"['0000353', '0005682']"
544,8i0r.B.42,train,"['0000353', '0005682']"
545,8i0r.B.71,train,"['0000353', '0005682']"
546,8i0r.B.45,train,"['0000353', '0005682']"
547,8i0r.B.28,train,"['0000353', '0005682']"
548,8i0r.B.94,train,"['0000353', '0005682']"
549,8i0r.B.22,train,"['0000353', '0005682']"
550,8i0r.B.24,train,"['0000353', '0005682']"
551,8i0r.B.104,train,"['0000353', '0005682']"
552,8i0r.B.99,train,"['0000353', '0005682']"
553,8i0r.B.32,train,"['0000353', '0005682']"
554,8i0r.B.98,train,"['0000353', '0005682']"
555,8i0r.B.113,train,"['0000353', '0005682']"
556,8i0r.B.111,train,"['0000353', '0005682']"
557,8i0r.B.105,train,"['0000353', '0005682']"
558,8i0r.B.60,train,"['0000353', '0005682']"
559,8i0r.B.15,train,"['0000353', '0005682']"
560,8i0r.B.46,train,"['0000353', '0005682']"
561,8i0r.B.14,train,"['0000353', '0005682']"
562,8i0r.B.38,train,"['0000353', '0005682']"
563,8i0r.B.100,train,"['0000353', '0005682']"
564,8i0r.B.59,train,"['0000353', '0005682']"
565,8i0r.B.95,train,"['0000353', '0005682']"
566,8i0r.B.31,train,"['0000353', '0005682']"
567,8i0r.B.17,train,"['0000353', '0005682']"
568,8i0r.B.88,train,"['0000353', '0005682']"
569,8i0r.B.112,train,"['0000353', '0005682']"
570,8i0r.B.102,train,"['0000353', '0005682']"
571,8i0r.B.47,train,"['0000353', '0005682']"
572,8i0r.B.41,train,"['0000353', '0005682']"
573,8i0r.B.58,train,"['0000353', '0005682']"
574,8i0r.B.116,train,"['0000353', '0005682']"
575,8i0r.B.30,train,"['0000353', '0005682']"
576,8i0r.B.9,train,"['0000353', '0005682']"
577,8i0r.B.19,train,"['0000353', '0005682']"
578,8i0r.B.103,train,"['0000353', '0005682']"
579,8i0r.B.106,train,"['0000353', '0005682']"
580,8i0r.B.49,train,"['0000353', '0005682']"
581,8i0r.B.25,train,"['0000353', '0005682']"
582,8i0r.B.43,train,"['0000353', '0005682']"
583,8i0r.B.26,train,"['0000353', '0005682']"
584,8i0r.B.23,train,"['0000353', '0005682']"
585,8i0r.B.93,train,"['0000353', '0005682']"
586,8i0r.F.62,train,"['0000353', '0005688']"
587,8i0r.F.68,train,"['0000353', '0005688']"
588,8i0r.F.23,train,"['0000353', '0005688']"
589,8i0r.F.31,train,"['0000353', '0005688']"
590,8i0r.F.52,train,"['0000353', '0005688']"
591,8i0r.F.32,train,"['0000353', '0005688']"
592,8i0r.F.73,train,"['0000353', '0005688']"
593,8i0r.F.96,train,"['0000353', '0005688']"
594,8i0r.F.13,train,"['0000353', '0005688']"
595,8i0r.F.22,train,"['0000353', '0005688']"
596,8i0r.F.25,train,"['0000353', '0005688']"
597,8i0r.F.24,train,"['0000353', '0005688']"
598,8i0r.F.51,train,"['0000353', '0005688']"
599,8i0r.F.64,train,"['0000353', '0005688']"
600,8i0r.F.3,train,"['0000353', '0005688']"
601,8i0r.F.63,train,"['0000353', '0005688']"
602,8i0r.F.9,train,"['0000353', '0005688']"
603,8i0r.F.28,train,"['0000353', '0005688']"
604,8i0r.F.16,train,"['0000353', '0005688']"
605,8i0r.F.92,train,"['0000353', '0005688']"
606,8i0r.F.47,train,"['0000353', '0005688']"
607,8i0r.F.88,train,"['0000353', '0005688']"
608,8i0r.F.18,train,"['0000353', '0005688']"
609,8i0r.F.38,train,"['0000353', '0005688']"
610,8i0r.F.12,train,"['0000353', '0005688']"
611,8i0r.F.34,train,"['0000353', '0005688']"
612,8i0r.F.66,train,"['0000353', '0005688']"
613,8i0r.F.86,train,"['0000353', '0005688']"
614,8i0r.F.10,train,"['0000353', '0005688']"
615,8i0r.F.2,train,"['0000353', '0005688']"
616,8i0r.F.79,train,"['0000353', '0005688']"
617,8i0r.F.57,train,"['0000353', '0005688']"
618,8i0r.F.91,train,"['0000353', '0005688']"
619,8i0r.F.67,train,"['0000353', '0005688']"
