,residue,split,target
452,1h3e.B.8,train,False
453,1h3e.B.9,train,False
454,1h3e.B.10,train,False
455,1h3e.B.11,train,False
456,1h3e.B.12,train,False
457,1h3e.B.13,train,False
458,1h3e.B.14,train,False
459,1h3e.B.15,train,False
460,1h3e.B.16,train,False
461,1h3e.B.19,train,False
462,1h3e.B.18,train,False
463,1h3e.B.20,train,False
464,1h3e.B.21,train,False
465,1h3e.B.22,train,False
466,1h3e.B.23,train,False
467,1h3e.B.24,train,False
468,1h3e.B.25,train,False
469,1h3e.B.26,train,False
470,1h3e.B.27,train,False
471,1h3e.B.28,train,False
472,1h3e.B.29,train,False
473,1h3e.B.30,train,False
474,1h3e.B.31,train,False
475,1h3e.B.32,train,False
476,1h3e.B.33,train,False
477,1h3e.B.34,train,False
478,1h3e.B.35,train,True
479,1h3e.B.36,train,False
480,1h3e.B.37,train,False
481,1h3e.B.38,train,False
482,1h3e.B.39,train,False
483,1h3e.B.40,train,False
484,1h3e.B.41,train,False
485,1h3e.B.42,train,False
486,1h3e.B.43,train,False
487,1h3e.B.44,train,False
488,1h3e.B.45,train,False
489,1h3e.B.46,train,False
490,1h3e.B.47,train,False
491,1h3e.B.48,train,False
492,1h3e.B.49,train,False
493,1h3e.B.50,train,False
494,1h3e.B.51,train,False
495,1h3e.B.52,train,False
496,1h3e.B.53,train,False
497,1h3e.B.54,train,True
498,1h3e.B.55,train,True
499,1h3e.B.56,train,False
500,1h3e.B.57,train,False
501,1h3e.B.58,train,True
502,1h3e.B.59,train,False
503,1h3e.B.60,train,False
504,1h3e.B.61,train,False
505,1h3e.B.62,train,False
506,1h3e.B.63,train,False
507,1h3e.B.64,train,False
508,1h3e.B.65,train,False
509,1h3e.B.66,train,False
510,1h3e.B.67,train,False
511,1h3e.B.68,train,False
512,1h3e.B.69,train,False
513,1h3e.B.70,train,False
514,1h3e.B.71,train,False
515,1h3e.B.72,train,False
516,1h3e.B.73,train,False
517,1h3e.B.74,train,False
518,1h4s.T.5,train,False
519,1h4s.T.4,train,False
520,1h4s.T.6,train,False
521,1h4s.T.7,train,False
522,1h4s.T.8,train,False
523,1h4s.T.9,train,False
524,1h4s.T.10,train,False
525,1h4s.T.11,train,False
526,1h4s.T.12,train,False
527,1h4s.T.13,train,False
528,1h4s.T.14,train,False
529,1h4s.T.15,train,False
530,1h4s.T.16,train,False
531,1h4s.T.17,train,False
532,1h4s.T.18,train,False
533,1h4s.T.19,train,False
534,1h4s.T.20,train,False
535,1h4s.T.21,train,False
536,1h4s.T.22,train,False
537,1h4s.T.23,train,False
538,1h4s.T.24,train,False
539,1h4s.T.25,train,False
540,1h4s.T.26,train,False
541,1h4s.T.27,train,False
542,1h4s.T.28,train,False
543,1h4s.T.29,train,False
544,1h4s.T.30,train,False
545,1h4s.T.31,train,False
546,1h4s.T.32,train,False
547,1h4s.T.33,train,False
548,1h4s.T.34,train,False
549,1h4s.T.35,train,False
550,1h4s.T.36,train,False
551,1h4s.T.37,train,False
552,1h4s.T.38,train,False
553,1h4s.T.39,train,False
554,1h4s.T.40,train,False
555,1h4s.T.41,train,False
556,1h4s.T.42,train,False
557,1h4s.T.43,train,False
558,1h4s.T.44,train,False
559,1h4s.T.45,train,False
560,1h4s.T.46,train,False
561,1h4s.T.47,train,False
562,1h4s.T.48,train,False
563,1h4s.T.49,train,False
564,1h4s.T.50,train,False
565,1h4s.T.51,train,False
566,1h4s.T.52,train,False
567,1h4s.T.53,train,False
568,1h4s.T.54,train,True
569,1h4s.T.55,train,True
570,1h4s.T.56,train,False
571,1h4s.T.57,train,False
572,1h4s.T.58,train,False
573,1h4s.T.59,train,False
574,1h4s.T.60,train,False
575,1h4s.T.61,train,False
576,1h4s.T.62,train,False
577,1h4s.T.63,train,False
578,1h4s.T.64,train,False
579,1h4s.T.65,train,False
580,1h4s.T.66,train,False
581,1h4s.T.67,train,False
582,1h4s.T.68,train,False
583,1h4s.T.69,train,False
584,1il2.C.902,train,False
585,1il2.C.901,train,False
586,1il2.C.903,train,False
587,1il2.C.904,train,False
588,1il2.C.905,train,False
589,1il2.C.906,train,False
590,1il2.C.907,train,False
591,1il2.C.908,train,False
592,1il2.C.909,train,False
593,1il2.C.910,train,False
594,1il2.C.911,train,False
595,1il2.C.912,train,False
596,1il2.C.913,train,True
597,1il2.C.914,train,False
598,1il2.C.915,train,False
599,1il2.C.916,train,True
600,1il2.C.917,train,False
601,1il2.C.918,train,False
602,1il2.C.919,train,True
603,1il2.C.920,train,False
604,1il2.C.921,train,False
605,1il2.C.922,train,False
606,1il2.C.923,train,False
607,1il2.C.924,train,False
608,1il2.C.925,train,False
609,1il2.C.926,train,False
610,1il2.C.927,train,False
611,1il2.C.928,train,False
612,1il2.C.929,train,False
613,1il2.C.930,train,False
614,1il2.C.931,train,False
615,1il2.C.932,train,True
616,1il2.C.933,train,False
617,1il2.C.934,train,False
618,1il2.C.935,train,False
619,1il2.C.936,train,False
620,1il2.C.937,train,True
621,1il2.C.938,train,False
622,1il2.C.939,train,False
623,1il2.C.940,train,False
624,1il2.C.941,train,False
625,1il2.C.942,train,False
626,1il2.C.943,train,False
627,1il2.C.944,train,False
628,1il2.C.945,train,False
629,1il2.C.946,train,False
630,1il2.C.949,train,True
631,1il2.C.948,train,False
632,1il2.C.950,train,False
633,1il2.C.951,train,False
634,1il2.C.952,train,False
635,1il2.C.953,train,False
636,1il2.C.954,train,True
637,1il2.C.955,train,True
638,1il2.C.956,train,False
639,1il2.C.957,train,False
640,1il2.C.958,train,False
641,1il2.C.959,train,False
642,1il2.C.960,train,False
643,1il2.C.961,train,False
644,1il2.C.962,train,False
645,1il2.C.963,train,False
646,1il2.C.964,train,False
647,1il2.C.965,train,False
648,1il2.C.966,train,False
649,1il2.C.967,train,False
650,1il2.C.968,train,False
651,1il2.C.969,train,False
652,1il2.C.970,train,False
653,1il2.C.971,train,False
654,1il2.C.972,train,False
655,1il2.C.973,train,False
656,1il2.C.974,train,False
657,1il2.C.975,train,False
658,1il2.C.976,train,False
659,1j9h.A.2,train,False
660,1j9h.A.1,train,False
661,1j9h.A.3,train,False
662,1j9h.A.4,train,False
663,1j9h.A.5,train,False
664,1j9h.A.6,train,False
665,1j9h.A.7,train,True
666,1j9h.A.8,train,False
667,1j9h.A.9,train,False
668,1j9h.B.11,train,False
669,1j9h.B.10,train,False
670,1j9h.B.12,train,False
671,1j9h.B.13,train,False
672,1j9h.B.14,train,False
673,1j9h.B.15,train,False
674,1j9h.B.16,train,True
675,1j9h.B.17,train,False
676,1j9h.B.18,train,False
677,1jbr.C.1,train,False
678,1jbr.C.0,train,False
679,1jbr.C.2,train,False
680,1jbr.C.3,train,False
681,1jbr.C.4,train,False
682,1jbr.C.5,train,False
683,1jbr.C.6,train,False
684,1jbr.C.7,train,False
685,1jbr.C.8,train,False
686,1jbr.C.9,train,False
687,1jbr.C.10,train,False
688,1jbr.C.11,train,False
689,1jbr.C.12,train,False
690,1jbr.C.13,train,False
691,1jbr.C.14,train,False
692,1jbr.C.15,train,False
693,1jbr.C.16,train,False
694,1jbr.C.17,train,True
695,1jbr.F.19,train,False
696,1jbr.F.18,train,False
697,1jbr.F.20,train,False
698,1jbr.F.21,train,False
699,1jbr.F.22,train,False
700,1jbr.F.23,train,False
701,1jbr.F.24,train,False
702,1jbr.F.25,train,False
703,1jbr.F.26,train,False
704,1jbr.F.27,train,False
705,1jbr.F.28,train,False
706,1jbr.F.29,train,False
707,1jbr.F.30,train,False
708,1jzv.A.2,train,False
709,1jzv.A.1,train,False
710,1jzv.A.3,train,False
711,1jzv.A.4,train,False
712,1jzv.A.5,train,False
713,1jzv.A.6,train,False
714,1jzv.A.7,train,True
715,1jzv.A.8,train,False
716,1jzv.B.10,train,False
717,1jzv.B.9,train,False
718,1jzv.B.11,train,False
719,1jzv.B.12,train,False
720,1jzv.B.13,train,False
721,1jzv.B.14,train,False
722,1jzv.B.15,train,False
723,1jzv.B.16,train,True
724,1jzv.B.17,train,False
725,1jzv.C.22,train,False
726,1jzv.C.21,train,False
727,1jzv.C.23,train,False
728,1jzv.C.24,train,False
729,1jzv.C.25,train,False
730,1jzv.C.26,train,False
731,1jzv.C.27,train,True
732,1jzv.C.28,train,False
733,1jzv.D.30,train,False
734,1jzv.D.29,train,False
735,1jzv.D.31,train,False
736,1jzv.D.32,train,False
737,1jzv.D.33,train,False
738,1jzv.D.34,train,False
739,1jzv.D.35,train,False
740,1jzv.D.36,train,True
741,1jzv.D.37,train,False
742,1kfo.A.2,val,False
743,1kfo.A.1,val,False
744,1kfo.A.3,val,False
745,1kfo.A.4,val,False
746,1kfo.A.5,val,False
747,1kfo.A.6,val,False
748,1kfo.A.7,val,False
749,1kfo.A.8,val,False
750,1kfo.A.9,val,False
751,1kfo.A.10,val,False
752,1kfo.A.11,val,False
753,1kfo.A.12,val,False
754,1kfo.A.13,val,False
755,1kfo.A.14,val,False
756,1kfo.A.15,val,False
757,1kfo.A.16,val,True
758,1kfo.A.17,val,False
759,1kfo.A.18,val,False
760,1kfo.A.19,val,False
761,1kh6.A.2,train,False
762,1kh6.A.1,train,False
763,1kh6.A.3,train,False
764,1kh6.A.4,train,False
765,1kh6.A.5,train,False
766,1kh6.A.6,train,False
767,1kh6.A.7,train,False
768,1kh6.A.8,train,False
769,1kh6.A.9,train,False
770,1kh6.A.10,train,False
771,1kh6.A.17,train,False
772,1kh6.A.16,train,True
773,1kh6.A.18,train,False
774,1kh6.A.19,train,False
775,1kh6.A.20,train,False
776,1kh6.A.21,train,False
777,1kh6.A.22,train,False
778,1kh6.A.23,train,False
779,1kh6.A.24,train,False
780,1kh6.A.25,train,False
781,1kh6.A.26,train,True
782,1kh6.A.27,train,False
783,1kh6.A.28,train,False
784,1kh6.A.29,train,False
785,1kh6.A.30,train,False
786,1kh6.A.31,train,False
787,1kh6.A.32,train,False
788,1kh6.A.33,train,False
789,1kh6.A.34,train,False
790,1kh6.A.35,train,False
791,1kh6.A.36,train,True
792,1kh6.A.37,train,True
793,1kh6.A.38,train,True
794,1kh6.A.39,train,False
795,1kh6.A.40,train,False
796,1kh6.A.41,train,False
797,1kh6.A.42,train,False
798,1kh6.A.43,train,False
799,1kh6.A.44,train,True
800,1kh6.A.45,train,False
801,1kh6.A.46,train,False
802,1kh6.A.47,train,False
803,1kh6.A.48,train,False
804,1kh6.A.49,train,False
805,1kh6.A.50,train,False
806,1kh6.A.51,train,False
807,1kh6.A.52,train,False
808,1kh6.A.53,train,False
809,1lnt.A.2,test,False
810,1lnt.A.1,test,False
811,1lnt.A.3,test,False
812,1lnt.A.4,test,False
813,1lnt.A.5,test,False
814,1lnt.A.6,test,False
815,1lnt.A.7,test,False
816,1lnt.A.8,test,False
817,1lnt.A.9,test,False
818,1lnt.A.10,test,False
819,1lnt.A.11,test,True
820,1lnt.A.12,test,False
821,1lnt.B.14,test,False
822,1lnt.B.13,test,False
823,1lnt.B.15,test,False
824,1lnt.B.16,test,False
825,1lnt.B.17,test,False
826,1lnt.B.18,test,False
827,1lnt.B.19,test,False
828,1lnt.B.20,test,False
829,1lnt.B.21,test,False
830,1lnt.B.22,test,True
831,1lnt.B.23,test,False
832,1lnt.B.24,test,False
833,1m5k.A.2,train,False
834,1m5k.A.1,train,False
835,1m5k.A.3,train,False
836,1m5k.A.4,train,False
837,1m5k.A.5,train,False
838,1m5k.A.6,train,False
839,1m5k.A.7,train,False
840,1m5k.A.8,train,False
841,1m5k.A.9,train,False
842,1m5k.A.10,train,False
843,1m5k.A.11,train,False
844,1m5k.A.12,train,True
845,1m5k.A.13,train,False
846,1m5k.A.14,train,False
847,1m5k.A.15,train,False
848,1m5k.A.16,train,False
849,1m5k.A.17,train,True
850,1m5k.A.18,train,False
851,1m5k.A.19,train,False
852,1m5k.A.20,train,False
853,1m5k.A.21,train,False
854,1m5k.B.3,train,False
855,1m5k.B.2,train,False
856,1m5k.B.4,train,False
857,1m5k.B.5,train,False
858,1m5k.B.6,train,False
859,1m5k.B.7,train,False
860,1m5k.B.8,train,False
861,1m5k.B.9,train,False
862,1m5k.B.10,train,False
863,1m5k.B.11,train,False
864,1m5k.B.12,train,False
865,1m5k.B.13,train,False
866,1m5k.B.14,train,False
867,1m5k.B.15,train,False
868,1m5k.B.16,train,False
869,1m5k.B.17,train,False
870,1m5k.B.18,train,False
871,1m5k.B.19,train,False
872,1m5k.B.20,train,False
873,1m5k.B.21,train,False
874,1m5k.B.22,train,False
875,1m5k.B.23,train,False
876,1m5k.B.24,train,False
877,1m5k.B.25,train,False
878,1m5k.B.26,train,False
879,1m5k.B.27,train,False
880,1m5k.B.28,train,False
881,1m5k.B.29,train,False
882,1m5k.B.30,train,False
883,1m5k.B.31,train,False
884,1m5k.B.32,train,False
885,1m5k.B.33,train,False
886,1m5k.B.34,train,False
887,1m5k.B.35,train,False
888,1m5k.B.36,train,False
889,1m5k.B.37,train,False
890,1m5k.B.38,train,False
891,1m5k.B.39,train,False
892,1m5k.B.40,train,False
893,1m5k.B.41,train,False
894,1m5k.B.42,train,False
895,1m5k.B.43,train,False
896,1m5k.B.44,train,False
897,1m5k.B.45,train,False
898,1m5k.B.46,train,False
899,1m5k.B.47,train,False
900,1m5k.B.48,train,False
901,1m5k.B.49,train,False
902,1m5k.B.50,train,False
903,1m5k.B.51,train,False
904,1m5k.B.52,train,False
905,1m5k.B.53,train,False
906,1m5k.B.54,train,False
907,1m5k.B.55,train,False
908,1m5k.B.56,train,False
909,1m5k.B.57,train,False
910,1m5k.B.58,train,False
911,1m5k.B.59,train,False
912,1m5k.B.60,train,False
913,1m5k.B.61,train,False
914,1m5k.B.62,train,False
915,1m5k.B.63,train,False
916,1m5k.B.64,train,False
917,1m5k.B.65,train,False
918,1m5k.B.66,train,False
919,1m5k.B.67,train,False
920,1m5k.B.68,train,False
921,1m5k.B.69,train,False
922,1m5k.B.70,train,False
923,1m5k.B.71,train,False
924,1m5k.B.72,train,False
925,1m5k.B.73,train,False
926,1m5k.B.74,train,False
927,1m5k.B.75,train,False
928,1m5k.B.76,train,False
929,1m5k.B.77,train,False
930,1m5k.B.78,train,False
931,1m5k.B.79,train,False
932,1m5k.B.80,train,False
933,1m5k.B.81,train,False
934,1m5k.B.82,train,False
935,1m5k.B.83,train,False
936,1m5k.B.84,train,False
937,1m5k.B.85,train,False
938,1m5k.B.86,train,False
939,1m5k.B.87,train,False
940,1m5k.B.88,train,False
941,1m5k.B.89,train,False
942,1m5k.B.90,train,False
943,1m5k.B.91,train,False
944,1m5k.B.92,train,False
945,1qbp.B.16,train,False
946,1qbp.A.11,train,False
947,1qbp.A.9,train,False
948,1qbp.A.6,train,False
949,1qbp.A.12,train,False
